Wind Speed (m/s),Thrust Coeffecient,Power (MW)
0,0,0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0,0
1,0,0
1.1,0,0
1.2,0,0
1.3,0,0
1.4,0,0
1.5,0,0
1.6,0,0
1.7,0,0
1.8,0,0
1.9,0,0
2,0,0
2.1,0,0
2.2,0,0
2.3,0,0
2.4,0,0
2.5,0,0
2.6,0,0
2.7,0,0
2.8,0,0
2.9,0,0
3,0,0
3.1,0,0
3.2,0,0
3.3,0,0
3.4,0,0
3.5,0.88255464,0.027390976
3.6,0.879022034,0.035587873
3.7,0.87528981,0.044203913
3.8,0.871418739,0.053233098
3.9,0.867469597,0.062669432
4,0.863503156,0.072506921
4.1,0.85958019,0.082739567
4.2,0.855761473,0.093361375
4.3,0.852107778,0.104366348
4.4,0.848679879,0.115766445
4.5,0.84553855,0.127632251
4.6,0.842744564,0.139852993
4.7,0.840358694,0.152287466
4.8,0.838441714,0.164794466
4.9,0.837054398,0.177148047
5,0.836254348,0.189375224
5.1,0.835730106,0.201838769
5.2,0.835247301,0.214937271
5.3,0.834809739,0.229039499
5.4,0.834421229,0.244696045
5.5,0.834085579,0.261652961
5.6,0.833806598,0.279306676
5.7,0.833588092,0.297053617
5.8,0.833433869,0.314288197
5.9,0.833347739,0.33073139
6,0.833333788,0.347184277
6.1,0.833394494,0.364673556
6.2,0.833517017,0.384357466
6.3,0.833685498,0.406545012
6.4,0.833884079,0.429846665
6.5,0.834096901,0.452839749
6.6,0.834308105,0.475480558
6.7,0.834501833,0.49830675
6.8,0.834662226,0.521746731
6.9,0.834773426,0.546228906
7,0.834819573,0.57213082
7.1,0.834776036,0.599443857
7.2,0.834627835,0.628144728
7.3,0.834381867,0.657965556
7.4,0.834045182,0.688608952
7.5,0.833624831,0.719777528
7.6,0.833127863,0.751208076
7.7,0.832561329,0.783073533
7.8,0.831932279,0.815772579
7.9,0.831247762,0.849704568
8,0.830514828,0.885539182
8.1,0.82957448,0.923982907
8.2,0.828111409,0.962804938
8.3,0.826167599,1.000773423
8.4,0.823796262,1.038710567
8.5,0.82105061,1.077128388
8.6,0.817983852,1.116518909
8.7,0.814649202,1.15685179
8.8,0.811099868,1.197539622
8.9,0.807389064,1.237968109
9,0.80357,1.27753747
9.1,0.799256079,1.316394763
9.2,0.794109456,1.355307094
9.3,0.788256466,1.394906643
9.4,0.781823446,1.435798164
9.5,0.774936732,1.478025642
9.6,0.767722661,1.521125378
9.7,0.760307568,1.564617002
9.8,0.75281779,1.608020142
9.9,0.745379663,1.650854429
10,0.738108587,1.692905192
10.1,0.730757966,1.73461259
10.2,0.723195842,1.77659239
10.3,0.715445931,1.819141133
10.4,0.707531948,1.862198308
10.5,0.699477609,1.905470099
10.6,0.691306628,1.948727603
10.7,0.683042722,1.991753704
10.8,0.674709606,2.034471075
10.9,0.666330995,2.076891541
11,0.657930605,2.119028255
11.1,0.649500762,2.161356023
11.2,0.640987666,2.204114614
11.3,0.632389559,2.246416312
11.4,0.623706492,2.287393267
11.5,0.614938513,2.327019057
11.6,0.606085671,2.365623793
11.7,0.597148014,2.403444091
11.8,0.588125592,2.440716564
11.9,0.579018452,2.477656005
12,0.569826645,2.514003285
12.1,0.56052634,2.549539224
12.2,0.551060005,2.584561952
12.3,0.541451857,2.618490488
12.4,0.531731403,2.650906482
12.5,0.521928153,2.681932774
12.6,0.512071616,2.711739445
12.7,0.5021913,2.740496579
12.8,0.492316713,2.768499302
12.9,0.482477365,2.794837977
13,0.472702763,2.817875549
13.1,0.46290105,2.837838365
13.2,0.452946623,2.856512341
13.3,0.442903494,2.87390265
13.4,0.432837231,2.890004278
13.5,0.422813403,2.904952977
13.6,0.412897581,2.918761817
13.7,0.403155332,2.931209149
13.8,0.393652226,2.942073153
13.9,0.384453832,2.951392168
14,0.375624084,2.959449311
14.1,0.367026168,2.96626244
14.2,0.358553307,2.972185538
14.3,0.350225063,2.97704526
14.4,0.342061,2.981377154
14.5,0.334080683,2.985269953
14.6,0.326303674,2.988649245
14.7,0.318749538,2.991440615
14.8,0.311437837,2.993569652
14.9,0.304388137,2.994965507
15,0.29762,2.995786373
15.1,0.291086713,2.996354989
15.2,0.284728088,2.996890223
15.3,0.278543477,2.997390066
15.4,0.272532233,2.997852506
15.5,0.266693706,2.998275533
15.6,0.26102725,2.998657136
15.7,0.255532216,2.998995304
15.8,0.250207956,2.999288026
15.9,0.245053823,2.999533293
16,0.240069169,2.999729093
16.1,0.23522286,2.999873415
16.2,0.230477474,2.999964249
16.3,0.225844656,2.999999585
16.4,0.221336449,3
16.5,0.216964896,3
16.6,0.21274204,3
16.7,0.208679923,3
16.8,0.204790589,3
16.9,0.201086079,3
17,0.197578377,3
17.1,0.194264771,3
17.2,0.191120017,3
17.3,0.188118772,3
17.4,0.185235698,3
17.5,0.182445454,3
17.6,0.179722699,3
17.7,0.177042092,3
17.8,0.174378295,3
17.9,0.171705965,3
18,0.168999762,3
18.1,0.166251959,3
18.2,0.163504924,3
18.3,0.160767657,3
18.4,0.158046104,3
18.5,0.155346211,3
18.6,0.152673923,3
18.7,0.150035188,3
18.8,0.14743595,3
18.9,0.144882156,3
19,0.142379751,3
19.1,0.139921704,3
19.2,0.137462803,3
19.3,0.135012328,3
19.4,0.1325861,3
19.5,0.130199942,3
19.6,0.127869677,3
19.7,0.125611127,3
19.8,0.123440116,3
19.9,0.121372466,3
20,0.119423999,3
20.1,0.117587278,3
20.2,0.115819941,3
20.3,0.114117573,3
20.4,0.112477088,3
